,position,company,location
540,AWS Big Data Engineer,The Job Network,"Santa Monica, CA, US"
541,Data Science Intern,The Job Network,"Newport Beach, CA, US"
542,Remote Big Data/Security Engineer,The Job Network,Remote
543,"Data Scientist  - Long - Term Contract; Torrance, CA",The Job Network,"Torrance, CA, US"
544,AWS Big Data Engineer,The Job Network,"Santa Monica, CA, US"
545,"Sr Manager Data Science  -  Santa Ana, CA or Eden Prairie, MN",The Job Network,"Santa Ana, CA, US"
546,Spark Developer (Big Data Engineer),The Job Network,"Irvine, CA, US"
547,Sr. Big Data Developer No C2C,The Job Network,"Fountain Valley, CA, US"
548,Sr. Big Data Developer No C2C,The Job Network,"Fountain Valley, CA, US"
549,Sr. Big Data Developer No C2C,The Job Network,"Fountain Valley, CA, US"
