,job_id,job_title,company,location,senority,posted_time,employment_type,scrape_time,search_query,search_location
527,527,Product Engineer - Spatial Data Science and Statistical Analysis,The Judge Group,"Long Beach, CA, US",,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
528,528,Data Analyst/Programmer,CalOptima,"Orange, CA, US",Entry level,Posted 3 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
529,529,"Data Analyst, Int. (BHI)",Staffigo,"Santa Monica, CA, US",,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
530,530,Data Analyst,BlackLine,"Woodland Hills, CA, US",Entry level,Posted 2 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
531,531,Data Scientist,Amgen,"Thousand Oaks, CA, US",Entry level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
532,532,Commercial Data Scientist,Radiant System,"Los Angeles, CA, US",,Posted 1 day ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
533,533,Data Analyst -Los Angeles County,The Aerospace Corporation,"El Segundo, CA, US",Entry level,Posted 3 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
534,534,Digital Communications Data Scientist,City National Bank,"Los Angeles, CA, US",,Posted 2 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
535,535,Business Unit Data Analyst,Cedars-Sinai,"Los Angeles, CA, US",,Posted 4 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
536,536,"Project Scientist - Critical Care Neurology Laboratory - Dr. Shouri Lahiri, PI",Cylance Inc.,"Irvine, CA, US",,Posted 4 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
537,537,Senior Data Scientist,Blue Icy Water,"Torrance, CA, US",Mid-Senior level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
538,538,Data Scientist -Torrance,JBCconnect | Creative Technology Talent,"Los Angeles, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
539,539,Sr. Marketing Data Analyst,Centene Corporation,"Woodland Hills, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
540,540,Data Analyst III – SQL query writer,The Job Network,"Irvine, CA, US",,Posted 2 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
541,541,Data Analyst,MobilizeGreen,"Los Angeles, CA, US",Entry level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
542,542,U.S. Forest Service GIS Data Analyst Resource Assistant,Alpha Technologies,"Santa Monica, CA, US",Entry level,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
543,543,Financial Data Analyst -Santa Monica,IEHP,"Rancho Cucamonga, CA, US",Associate,Posted 2 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
544,544,Healthcare Data Analyst I,Thermofisher Scientific,"West Hills, CA, US",Associate,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
545,545,"Scientist III, Manufacturing Sciences",Capgemini,"Burbank, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
546,546,Data Scientist Consultant - Burbank California,Heatlh People Inc.,"Moreno Valley, CA, US",,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
547,547,Clinical Lab Scientist,Amazon,"Santa Monica, CA, US",Associate,Posted 1 week ago,Part-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
548,548,Business Intelligence Engineer,Hulu,"Santa Monica, CA, US",,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
549,549,"Senior Decision Scientist, Advanced Analytics",City National Bank,"Beverly Hills, CA, US",,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
550,550,Heightened Standards Data Analyst,Viant Technology,"Los Angeles, CA, US",,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
551,551,"Sr. Software Engineer (Big Data Tools, Back-End)",Hulu,"Santa Monica, CA, US",Mid-Senior level,Posted 2 hours ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
552,552,"Software Developer, Big Data",Lorven Technologies Inc,"Santa Ana, CA, US",,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
553,553,"Data Scientist - Santa Ana, CA",Kite Pharma,"Santa Monica, CA, US",Entry level,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
554,554,"Manager, Statistical Programming",Ultimate Staffing,"Irvine, CA, US",Mid-Senior level,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
555,555,Assoc Clinical Data Analyst,University California Regents,"Irvine, CA, US",Entry level,Posted 4 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
556,556,Project Scientist on the ATLAS Experiment,Bitwise Inc,"Los Angeles, CA, US",Associate,Posted 4 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
557,557,AWS Big Data Engineer,JBCStyle Fashion Recruiters,"Los Angeles, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
558,558,Sr. Marketing Data Analyst,"University of California, Riverside","Riverside, CA, US",Associate,Posted 1 week ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
559,559,Project Director,Genuent,"Los Angeles, CA, US",Director,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
560,560,EDM BIG DATA ADMINISTRATOR,San Manuel Casino,"Highland, CA, US",Entry level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
561,561,"Sr Data Analyst, Financial Planning & Analytics",GPS Staffing,"Thousand Oaks, CA, US",Associate,Posted 1 day ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
562,562,QC Verification Lead - Research & Development Regulatory Operations (R,VelvetJobs,"Santa Monica, CA, US",Associate,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
563,563,"Senior Analyst, Advanced Analytics",UNICON International,"Los Angeles, CA, US",Mid-Senior level,Posted 5 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
564,564,Data Scientist- 27074 -Los Angeles County,R&D Partners,"Orange, CA, US",Entry level,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
565,565,Staff IT Engineer (Healthcare Data Scientist),Orange County Transportation Authority,"Orange, CA, US",Associate,Posted 4 weeks ago,Contract,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
566,566,"Data Science Analyst, Principal (GIS Analyst)","3 Key Consulting, Inc.","Thousand Oaks, CA, US",Mid-Senior level,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
567,567,Scientist (JP7006),EY,"Los Angeles, CA, US",Associate,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
568,568,Tech Consulting Senior - Cloud Big Data Engineer,Department Of Navy,"Los Angeles, CA, US",,Posted 1 month ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
569,569,Computer Scientist,Thermo Fisher Scientific,"West Hills, CA, US",Associate,Posted 2 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
570,570,"Scientist II, Manufacturing Sciences",St. Joseph Health,"Orange, CA, US",,Posted 5 days ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
571,571,Senior Clinical Data Analyst - Quality Management,KORE1,"Huntington Beach, CA, US",Associate,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
572,572,"Master Data Analyst: SAP S/4 + Material Master, Customer Master, or Vendor Master + support/audit + Winshuttle required",mPulse Mobile,"Encino, CA, US",Associate,Posted 3 months ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
573,573,Behavioral Data Science Manager,Advanced Sterilization Products (ASP),"Irvine, CA, US",Mid-Senior level,Posted 3 weeks ago,Full-time,2020-04-05 22:16:04.007882,data scientist,greater los angeles area
